PERMNO,date,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,PERMCO,HEXCD,CUSIP,PRC,VOL,RET,BID,ASK,SHROUT,NUMTRD,ewretd
52936,2003-04-10,6331,58940010,MCY,MERCURY GENERAL CORP NEW,MCY,7863,1,58940010,38.34,117900.0,-0.005705,38.34,38.35,54345.0,,0.001808
52329,2002-10-09,8711,46981410,JEC,JACOBS ENGINEERING GROUP INC,JEC,21011,1,46981410,26.29,297800.0,-0.047809,26.19,26.34,54393.0,,-0.024272
79362,2000-10-16,1311,98424510,YPF,Y P F SOCIEDAD ANONIMA,,29907,1,98424510,31.25,5200.0,-0.007937,31.0625,31.625,226663.0,,0.002151
53815,1996-05-24,2721,72811720,PLA,PLAYBOY ENTERPRISES INC,,21419,1,72811720,12.0,1600.0,0.0,11.75,12.25,4713.0,,0.005934
80634,1999-06-30,1380,45663L40,IFNY,INFINITY INC,IFNY,13159,3,45663L40,2.25,1335.0,-0.027027,2.25,2.3125,2958.0,3.0,0.013642
87478,2003-10-03,3820,13087610,CALP,CALIPER TECHNOLOGIES CORP,CALP,17522,3,13087210,6.11,193092.0,-0.023962,6.11,6.14,28182.0,316.0,0.009748999999999999
63344,1998-07-21,3550,72790010,PTIS,PLASMA THERM CORP,PTIS,5101,3,72790010,5.75,49200.0,-0.089109,5.75,6.0,11197.0,67.0,-0.008065000000000001
77910,2004-12-01,6726,67061T10,NIM,NUVEEN SELECT MATURITIES MUN FD,NIM,29572,1,67061T10,9.45,40000.0,0.0031850000000000003,9.44,9.51,12395.0,,0.009709
26374,1997-10-28,2834,14628510,CAR,CARTER WALLACE INC,,20401,1,14628510,15.4375,184300.0,0.060086,15.1875,15.625,33941.0,,0.016064
84348,1998-02-24,3660,92552V10,VSAT,VIASAT INC,VSAT,15199,3,92552V10,14.875,76402.0,-0.024590,14.75,14.875,7846.0,79.0,-0.0018219999999999998
75188,2004-11-17,6211,38991510,GFR,GREAT AMERICAN FINANCIAL RES INC,GFR,21651,1,38991510,16.89,2900.0,0.014413999999999998,16.85,16.89,47060.0,,0.007896
81696,2001-04-30,4840,27876210,DISH,ECHOSTAR COMMUNICATIONS CORP NEW,DISH,13790,3,25470M10,29.96,2510834.0,-0.018349,29.96,29.96,236709.0,3691.0,0.010081
87583,2004-12-06,2830,03703210,AGEN,ANTIGENICS INC DEL,AGEN,17936,3,00847G70,11.0,1000602.0,-0.003623,10.96,11.0,45522.0,3042.0,-4.9e-05
76020,2003-10-22,3840,91965610,VLFG,VALLEY FORGE SCIENTIFIC CORP,VLFG,10360,3,87160G10,1.4,6045.0,-0.041096,1.4,1.48,7914.0,8.0,-0.011672
76623,2004-09-24,2750,69011310,OUTL,OUTLOOK GROUP CORP,OUTL,10900,3,69011310,7.201,2765.0,-0.010852,7.22,7.48,3385.0,9.0,0.000875
79139,1996-01-19,6726,62629P10,MVT,MUNIVEST FUND II INC,,29813,1,09253T10,12.375,43800.0,0.0,12.25,12.625,19907.0,,0.003974
27713,2005-02-23,3826,03802010,ABI,APPLERA CORP,ABI,21387,1,03814910,19.96,536000.0,0.010633,19.9,19.96,196025.0,,0.002061
79894,1997-08-19,6798,05346910,AVN,AVALON PROPERTIES INC,,30024,1,05346910,27.5,33600.0,0.002278,27.25,27.8125,36282.0,,0.008118
79918,2006-12-08,6726,95766K10,HIO,WESTERN ASSET HIGH INC OPP FUND,HIO,30047,1,95766K10,6.58,239000.0,0.003049,6.57,6.58,73900.0,,0.00043499999999999995
47802,1998-11-02,6311,53037010,LC,LIBERTY CORP SC,,21099,1,53037010,42.625,7400.0,0.027108,42.125,43.125,18709.0,,0.018732
84174,1999-07-28,5043,69830E20,PVI,PANAVISION INC,,31804,1,69830E20,7.9375,8200.0,-0.015504,7.8125,8.125,8056.0,,0.000978
83685,1997-05-13,3570,69937610,PVAT,PARAVANT COMPUTER SYSTEMS INC,PVAT,14685,3,69937610,3.625,46768.0,0.035714,3.5,3.625,7984.0,30.0,0.0010949999999999998
80324,1999-09-23,2670,26249730,DYPR,DRYPERS CORP,DYPR,12913,3,26249730,3.375,76050.0,0.000000,3.375,3.4375,17725.0,47.0,-0.010753
83701,2001-06-18,4010,89411610,TNZR,TRANZ RAIL HOLDINGS LTD,TNZR,14723,3,89411610,-4.46,0.0,0.000000,4.36,4.56,2674.0,0.0,-0.012842
81886,1999-12-03,7370,66993710,NVDM,NOVADIGM INC,NVDM,13847,3,66993710,17.25,85415.0,0.000000,17.0,17.25,18120.0,162.0,0.005111
76119,2000-02-10,6726,47109110,JOF,JAPAN OTC EQUITY FUND INC,,26044,1,47109U10,10.625,136100.0,-0.005848,10.5,10.8125,11388.0,,0.007364
31472,1997-11-18,3691,04314710,ATA,ARTRA GROUP INC,,20218,1,29382L10,3.125,22700.0,-0.074074,3.0,3.375,7933.0,,-0.00519
83452,1996-08-08,5331,65440K10,NDN,99 CENTS ONLY STORES,,31636,1,65440K10,15.125,104400.0,0.130841,14.625,15.5,14179.0,,0.001626
77862,1996-01-22,1780,52105010,LAYN,LAYNE INC,LAYN,11677,3,52105010,10.75,9075.0,-0.022727,10.25,11.5,7334.0,8.0,0.00598
77077,2005-01-12,5331,82491110,SKO,SHOPKO STORES INC,SKO,29121,1,82491110,18.37,266900.0,0.015478,18.37,18.38,29559.0,,0.002705
89154,2003-01-13,6211,22540110,CSR,CREDIT SUISSE GROUP,CSR,42125,1,22540110,23.9,94600.0,0.046410,23.89,23.9,5211.0,,0.0018449999999999999
75900,2001-11-21,7993,05480210,AZR,AZTAR CORP,,10436,1,05480210,15.49,52200.0,-0.015883,15.24,15.75,37333.0,,0.000343
83291,1998-03-04,7380,60268310,MSPG,MINDSPRING ENTERPRISES INC,MSPG,14433,3,27033X10,54.75,437405.0,0.004587,54.5,55.0,7557.0,728.0,0.000958
77362,2006-01-23,2830,53192710,LIFC,LIFECELL CORP,LIFC,11365,3,53192710,21.25,815687.0,0.042178,21.23,21.24,32841.0,3424.0,0.003408
87013,2006-04-03,7370,04033V20,ARBA,ARIBA INC,ARBA,16603,3,04033V20,10.0,1020385.0,0.022495,9.97,10.0,74580.0,3288.0,-0.00325
86079,1996-04-26,6719,01662710,ALCM,ALL COMM MEDIA CORP,ALCM,665,3,55357010,2.625,8800.0,-0.023256,2.625,2.6875,3098.0,5.0,0.006483
89070,2001-10-25,3842,98956P10,ZMH,ZIMMER HOLDINGS INC,,41870,1,98956P10,29.59,703800.0,-0.012020,29.47,29.69,193611.0,,0.011118000000000001
82640,2001-06-25,2721,74157K10,PRM,PRIMEDIA INC,,29559,1,74157K84,6.87,86200.0,-0.005789,6.87,6.88,216050.0,,-0.000218
11393,2005-12-08,3070,84490910,,SOUTHWALL TECHNOLOGIES INC,,9234,3,84490920,,,B,,,12542.0,,0.0020829999999999998
77043,1999-07-27,6211,84522410,SWS,SOUTHWEST SECURITIES GROUP INC,,11148,1,78503N10,47.625,199300.0,0.024194,47.0625,47.875,11785.0,,0.0036
80575,2004-10-11,3429,82907310,SSD,SIMPSON MANUFACTURING CO INC,SSD,13114,1,82907310,63.26,41600.0,0.011351,63.26,63.27,23824.0,,0.002379
60580,2001-08-15,3524,89109210,TTC,TORO COMPANY,,4516,1,89109210,48.55,55300.0,0.01569,48.4,48.6,12544.0,,-0.004715
83552,1997-10-01,3670,78636210,SAESY,SAES GETTERS S P A,SAESY,14658,3,78636210,-12.0625,0.0,-0.015306,12.0,12.125,3100.0,0.0,0.0035450000000000004
80290,2000-08-07,3317.0,94762110,WEB,WEBCO INDUSTRIES INC,,12828,2,94762110,3.0,200.0,0.000000,2.75,3.25,7074.0,,0.0065969999999999996
78211,2001-12-10,6411,91359V10,,UNIVERSAL INSURANCE HOLDINGS INC,,11862,1,91359V10,,,B,,,3426.0,,-0.007336
12106,2005-04-13,6035,93969610,WSB,WASHINGTON SAVINGS BANK FSB,WSB,9884,3,92934C10,11.24,8900.0,0.017195,11.22,11.29,4570.0,,-0.009663
82540,1998-02-02,1521,93317Q10,WLT,WALTER INDUSTRIES INC,,14037,1,93317Q10,19.125,45800.0,0.013245,19.0,19.25,52696.0,,0.007653
76756,1997-05-09,6710,82652710,SWBS,SIERRAWEST BANCORP,SWBS,11014,3,82652710,19.625,10400.0,0.006409999999999999,19.625,20.125,3305.0,15.0,0.006894
44230,2005-11-18,3540,69283050,PFIN,P & F INDUSTRIES INC,PFIN,6104,3,69283050,12.89,800.0,0.018972,12.62,12.89,3584.0,4.0,0.004784
87595,2002-01-07,7372,15234X10,CTRA,CENTRA SOFTWARE INC,CTRA,17928,3,15234X10,8.0,253059.0,0.006289,7.95,7.97,25339.0,286.0,-0.00011200000000000001
10913,1996-11-20,6710,30956210,FFKT,FARMERS CAPITAL BANK CORP,FFKT,8788,3,30956210,-40.0,0.0,0.000000,39.25,40.75,3799.0,0.0,0.001352
83142,2002-12-20,3634,03815A10,APN,APPLICA INC,APN,4334,1,03815A10,4.81,138500.0,0.076063,4.71,4.94,23467.0,,0.004411
83745,1999-07-15,3670,20493810,CTEK,COMPOSITECH LTD,CTEK,14797,3,20493810,2.03125,202268.0,-0.029851,2.03125,2.0625,14770.0,109.0,0.006889
38172,2000-10-24,1381,97188910,WOC,WILSHIRE OIL CO TX,,21924,2,97188910,4.125,1000.0,0.0,4.0,4.375,8186.0,,0.0013830000000000001
80573,1999-06-11,7011,P8797T13,SIH,SUN INTERNATIONAL HOTELS LTD,,13042,1,P6065Y10,42.5,4000.0,-0.005848,,,33329.0,,-0.00123
87541,2006-03-29,2653,69515610,PKG,PACKAGING CORP AMERICA,PKG,23511,1,69515610,22.39,422100.0,0.000894,22.38,22.4,103767.0,,0.01095
35204,1997-06-09,6712,31890610,FOA,FIRST OF AMERICA BANK CORP,,1621,1,31890610,46.5,55900.0,-0.010638,46.25,46.625,89795.0,,0.0024519999999999998
85570,2005-09-16,700.0,12753720,CDZI,CADIZ INC,CDZI,7556,3,12753720,19.0,12815.0,0.041381,19.0,19.15,10966.0,57.0,0.005568
43334,2000-12-14,3440,87156510,SYNC,SYNALLOY CORP,SYNC,21696,3,87156510,5.5625,56462.0,0.011364,5.5625,5.625,6093.0,36.0,-0.013284
17523,1998-04-30,3662,84723510,SPA,SPARTON CORP,,21648,1,84723510,9.625,600.0,0.0,,,7828.0,,0.010241
89064,2004-07-12,3272,50586140,LR,LAFARGE S A,LR,41861,1,50586140,22.36,19900.0,0.011765,22.3,22.37,20301.0,,-0.002861
27449,1996-03-07,3241,37450310,GPO,GIANT GROUP LTD,,20815,1,37450310,9.625,2600.0,0.0,9.25,9.875,4606.0,,0.001186
27764,1999-06-28,3149,86331410,SRR,STRIDE RITE CORP,,21678,1,86331410,10.75,151400.0,0.011765000000000001,10.625,10.8125,46412.0,,0.006292
77313,2002-12-18,6726,09247410,BMT,BLACKROCK INSURED MUNI TM TR INC,BMT,29431,1,09247410,10.75,45800.0,0.008443,10.7,10.76,25886.0,,-0.012766
12060,2005-08-03,3641,36960410,GE,GENERAL ELECTRIC CO,GE,20792,1,36960430,34.21,17918200.0,-0.001168,34.2,34.21,10605920.0,,-0.000573
78208,2000-10-02,3570,89591910,TRID,TRIDENT MICROSYSTEMS INC,TRID,11856,3,89591910,9.0,22668.0,-0.027027,9.0,9.0625,12903.0,53.0,-0.011865
86642,1999-09-15,4210,46119010,INET,INTRENET INC,INET,7829,3,46119010,2.8125,15100.0,-0.042553,2.8125,2.875,13674.0,4.0,-0.0017420000000000003
86127,1998-12-04,6726,56191110,HYF,MANAGED HIGH YIELD PLUS FUND INC,,34787,1,56191110,13.125,98400.0,0.004785,13.0,13.375,26700.0,,0.006361
82848,1999-02-26,2833,88831410,TTP,TITAN PHARMACEUTICALS INC DEL,,14293,3,88831460,4.25,12300.0,0.000000,4.0,4.5,13124.0,,0.000586
