,Date,CUSIP,Ticker,MktValue,Shares,Russell1000,Russell2000,Name,R1000_WT,R2000_WT
237896,20021129,013104104,ABS,8836897.44,378616,Y,N,ALBERTSONS INC,0.000992,
378872,20061031,532716107,LTD,10053631.56,341148,Y,N,LIMITED BRANDS INC,0.000726,
340910,20050930,767754104,RAD,2021274.36,520947,Y,N,RITE AID CORP,0.000162,
107501,19990129,894169101,TRVL,234709.75,7759,N,Y,TRAVEL SVCS INTL INC,,0.000272
331996,20050630,790849103,STJ,15800164.66,362306,Y,N,ST JUDE MEDICAL INC,0.001308,
143039,20000229,225310101,CACC,121880.0,22160,N,Y,CREDIT ACCEP CORP MI,,0.000114
27955,19961031,56418H100,MAN,,76690,Y,N,MANPOWER INC/WI,0.0371,
165979,20001031,24785A108,DLTK,59088.37,8919,N,Y,DELTEK SYS INC,,6.5e-05
287388,20040331,852312305,STAA,164079.24,18292,N,Y,STAAR SURGICAL CO,,0.000174
372877,20060831,502161102,LSI,3193604.05,396721,Y,N,LSI LOGIC CORP,0.000243,
79499,19980430,256747106,DLTR,1491115.5,27486,Y,N,DOLLAR TREE STORES,0.000162,
153495,20000630,025537101,AEP,9509625.0,321000,Y,N,AMERICAN ELEC PWR IN,0.000724,
24911,19960930,527295109,LEVL,,12921,N,Y,LEVEL ONE COMMUNICAT,,0.0674
218039,20020430,278762109,DISH,5832604.8,214434,Y,N,ECHOSTAR COMMUNICATI,0.00058,
376548,20060929,75281A109,RRC,3480596.0,137900,Y,N,RANGE RESOURCES CORP,0.000259,
362531,20060531,01167P101,ALSK,161112.24,12972,N,Y,ALASKA COMMUNICATIONS,,0.000126
74451,19980227,489170100,KMT,1382143.0,26264,N,Y,KENNAMETAL INC,,0.1519
34456,19961231,775371107,ROH,,42649,Y,N,ROHM & HAAS CO,0.0565,
67332,19971231,000950105,AFCX,193166.75,6493,N,Y,AFC CABLE SYSTEMS IN,,0.0221
