permno,date,ticker,comnam,tsymbol,hexcd,cusip,prc,vol,ret,bid,ask,shrout,numtrd,ewretd,mktcap,year,month,yrmo,bid_ask_spread,turnover,dollar_vol
52936,2003-04-10,MCY,MERCURY GENERAL CORP NEW,MCY,1,58940010,38.34,117900.0,-0.005705,38.34,38.35,54345.0,,0.001808,2083587.3000000003,2003,4,200304,0.00026079019428864285,0.05658510204971973,4520286.0
52329,2002-10-09,JEC,JACOBS ENGINEERING GROUP INC,JEC,1,46981410,26.29,297800.0,-0.047809,26.19,26.34,54393.0,,-0.024272,1429991.97,2002,10,200210,0.005711022272986811,0.20825291767197826,7829162.0
79362,2000-10-16,YPF,Y P F SOCIEDAD ANONIMA,,1,98424510,31.25,5200.0,-0.007937,31.0625,31.625,226663.0,,0.002151,7083218.75,2000,10,200010,0.01794616151545364,0.0007341295226834551,162500.0
53815,1996-05-24,PLA,PLAYBOY ENTERPRISES INC,,1,72811720,12.0,1600.0,0.0,11.75,12.25,4713.0,,0.005934,56556.0,1996,5,199605,0.041666666666666664,0.028290543885706204,19200.0
80634,1999-06-30,IFNY,INFINITY INC,IFNY,3,45663L40,2.25,1335.0,-0.027027,2.25,2.3125,2958.0,3.0,0.013642,6655.5,1999,6,199906,0.0273972602739726,0.2005859815190444,3003.75
87478,2003-10-03,CALP,CALIPER TECHNOLOGIES CORP,CALP,3,13087610,6.11,193092.0,-0.023962,6.11,6.14,28182.0,316.0,0.009749,172192.02000000002,2003,10,200310,0.004897959183673365,1.1213760080170962,1179792.12
63344,1998-07-21,PTIS,PLASMA THERM CORP,PTIS,3,72790010,5.75,49200.0,-0.089109,5.75,6.0,11197.0,67.0,-0.008065000000000001,64382.75,1998,7,199807,0.0425531914893617,0.7641798463097647,282900.0
77910,2004-12-01,NIM,NUVEEN SELECT MATURITIES MUN FD,NIM,1,67061T10,9.45,40000.0,0.0031850000000000003,9.44,9.51,12395.0,,0.009709,117132.74999999999,2004,12,200412,0.007387862796833803,0.3414928788063117,378000.0
26374,1997-10-28,CAR,CARTER WALLACE INC,,1,14628510,15.4375,184300.0,0.060086,15.1875,15.625,33941.0,,0.016064,523964.1875,1997,10,199710,0.028397565922920892,0.3517415968433911,2845131.25
84348,1998-02-24,VSAT,VIASAT INC,VSAT,3,92552V10,14.875,76402.0,-0.024590,14.75,14.875,7846.0,79.0,-0.001822,116709.25,1998,2,199802,0.008438818565400843,0.6546353438137936,1136479.75
75188,2004-11-17,GFR,GREAT AMERICAN FINANCIAL RES INC,GFR,1,38991510,16.89,2900.0,0.014413999999999998,16.85,16.89,47060.0,,0.007896,794843.4,2004,11,200411,0.002371072910491947,0.0036485174312323658,48981.0
81696,2001-04-30,DISH,ECHOSTAR COMMUNICATIONS CORP NEW,DISH,3,27876210,29.96,2510834.0,-0.018349,29.96,29.96,236709.0,3691.0,0.010081,7091801.640000001,2001,4,200104,0.0,0.3540474095944962,75224586.64
87583,2004-12-06,AGEN,ANTIGENICS INC DEL,AGEN,3,03703210,11.0,1000602.0,-0.003623,10.96,11.0,45522.0,3042.0,-4.9e-05,500742.0,2004,12,200412,0.003642987249544549,1.998238613896977,11006622.0
