permno,date,ticker_x,comnam,tsymbol,hexcd,cusip,prc,vol,ret,bid,ask,shrout,numtrd,ewretd,mktcap,year,month,yrmo,bid_ask_spread,turnover,dollar_vol,ticker_y,russell1000,russell2000,name,r1000_wt,r2000_wt
52936,2003-04-10,MCY,MERCURY GENERAL CORP NEW,MCY,1,58940010,38.34,117900.0,-0.005705,38.34,38.35,54345.0,,0.001808,2083587.3000000003,2003,4,200304,0.00026079019428864285,0.05658510204971973,4520286.0,,,,,,
52936,1998-01-27,MCY,MERCURY GENERAL CORP NEW,,1,58940010,47.0,70200.0,0.021738999999999998,46.75,47.125,55111.0,,0.002264,2590217.0,1998,1,199801,0.007989347536617843,0.027101976398116453,3299400.0,,,,,,
84348,1998-02-24,VSAT,VIASAT INC,VSAT,3,92552V10,14.875,76402.0,-0.024590,14.75,14.875,7846.0,79.0,-0.0018219999999999998,116709.25,1998,2,199802,0.008438818565400843,0.6546353438137936,1136479.75,,,,,,
84348,2002-06-05,VSAT,VIASAT INC,VSAT,3,92552V10,9.1,111979.0,-0.019396,9.1,9.21,25908.0,297.0,0.000198,235762.8,2002,6,200206,0.012015292190060207,0.4749646678780538,1019008.9,,,,,,
75188,2004-11-17,GFR,GREAT AMERICAN FINANCIAL RES INC,GFR,1,38991510,16.89,2900.0,0.014413999999999998,16.85,16.89,47060.0,,0.007896,794843.4,2004,11,200411,0.0023710729104919467,0.0036485174312323658,48981.0,,,,,,
81696,2001-04-30,DISH,ECHOSTAR COMMUNICATIONS CORP NEW,DISH,3,27876210,29.96,2510834.0,-0.018349,29.96,29.96,236709.0,3691.0,0.010081,7091801.6400000015,2001,4,200104,0.0,0.3540474095944962,75224586.64,,,,,,
81696,1997-02-28,DISH,ECHOSTAR COMMUNICATIONS CORP NEW,DISH,3,27876210,22.75,211353.0,-0.061856,22.625,23.25,11116.0,225.0,-0.00229,252889.0,1997,2,199702,0.027247956403269755,0.8357540264701114,4808280.75,,,,,,
81696,1998-03-09,DISH,ECHOSTAR COMMUNICATIONS CORP NEW,DISH,3,27876210,20.75,351725.0,0.031056,20.625,20.875,15103.0,212.0,-0.002388,313387.25,1998,3,199803,0.012048192771084338,1.1223334708096773,7298293.75,,,,,,
81696,1996-04-01,DISH,ECHOSTAR COMMUNICATIONS CORP NEW,DISH,3,27876210,35.5,223011.0,0.051852,35.5,36.25,10535.0,121.0,0.002314,373992.5,1996,4,199604,0.020905923344947737,0.5962980541053631,7916890.5,,,,,,
87583,2004-12-06,AGEN,ANTIGENICS INC DEL,AGEN,3,03703210,11.0,1000602.0,-0.003623,10.96,11.0,45522.0,3042.0,-4.9e-05,500742.0,2004,12,200412,0.0036429872495445494,1.9982386138969768,11006622.0,,,,,,
87583,2004-10-22,AGEN,ANTIGENICS INC DEL,AGEN,3,03703210,5.55,1310706.0,0.096838,5.55,5.56,45472.0,3434.0,-0.0064340000000000005,252369.6,2004,10,200410,0.0018001800180017622,5.193597010099473,7274418.3,,,,,,
87583,2000-05-16,AGEN,ANTIGENICS INC DEL,AGEN,3,03703210,19.75,65285.0,0.016077,19.125,19.75,24778.0,62.0,0.00827,489365.5,2000,5,200005,0.03215434083601286,0.13340744290310616,1289378.75,,,,,,
87583,2002-05-16,AGEN,ANTIGENICS INC DEL,AGEN,3,03703210,11.12,131517.0,-0.041379,10.98,11.12,33067.0,320.0,-0.0009660000000000001,367705.04,2002,5,200205,0.012669683257918441,0.35766983231994864,1462469.0399999996,,,,,,
27713,2005-02-23,ABI,APPLERA CORP,ABI,1,03802010,19.96,536000.0,0.010633,19.9,19.96,196025.0,,0.002061,3912659.0,2005,2,200502,0.0030105368790768828,0.13699123792796666,10698560.0,,,,,,
27713,2004-08-23,ABI,APPLERA CORP,ABI,1,03802010,19.68,490900.0,-0.005056000000000001,19.65,19.67,201835.0,,-0.0028309999999999997,3972112.8,2004,8,200408,0.0010172939979655711,0.12358662120572204,9660912.0,,,,,,
47802,1998-11-02,LC,LIBERTY CORP SC,,1,53037010,42.625,7400.0,0.027108,42.125,43.125,18709.0,,0.018732,797471.125,1998,11,199811,0.02346041055718475,0.009279332841048009,315425.0,,,,,,
47802,2004-05-07,LC,LIBERTY CORP SC,LC,1,53037010,44.87,48100.0,-0.013846,44.8,44.88,18770.0,,-0.016933,842209.8999999998,2004,5,200405,0.0017841213202498972,0.0571116535201023,2158247.0,,,,,,
47802,2001-06-11,LC,LIBERTY CORP SC,,1,53037010,38.65,8900.0,0.009138,38.55,38.78,19740.0,,-0.0056700000000000006,762951.0,2001,6,200106,0.005948532264321841,0.011665231449988269,343985.0,,,,,,
47802,2000-10-25,LC,LIBERTY CORP SC,,1,53037010,35.0,11200.0,-0.012346,34.625,35.25,19500.0,,-0.015678,682500.0,2000,10,200010,0.017889087656529516,0.01641025641025641,392000.0,,,,,,
47802,1996-09-27,LC,LIBERTY CORP SC,,1,53037010,35.375,8300.0,0.000000,35.125,35.625,20175.0,,0.003254,713690.625,1996,9,199609,0.01413427561837456,0.011629688984635324,293612.5,,,,,,
81886,1999-12-03,NVDM,NOVADIGM INC,NVDM,3,66993710,17.25,85415.0,0.000000,17.0,17.25,18120.0,162.0,0.005111,312570.0,1999,12,199912,0.0145985401459854,0.27326678823943434,1473408.75,,,,,,
