permno,date,ticker_x,comnam,tsymbol,hexcd,cusip,prc,vol,ret,bid,ask,shrout,numtrd,ewretd,mktcap,yrmo,bid_ask_spread,turnover,dollar_vol,ticker_y,russell1000,russell2000,name,r1000_wt,r2000_wt,month,year,russell_year,mkt_rank_desc,mkt_rank_asc
75900,2001-11-21,AZR,AZTAR CORP,,1,05480210,15.49,52200.0,-0.015883,15.24,15.75,37333.0,,0.000343,578288.17,200111,0.0329138431752178,0.09026641509889437,808578.0,AZR,0,1,AZTAR CORP,0.0,0.000712,11,2001,2001,,
38658,2004-01-09,SRP,SIERRA PACIFIC RESOURCES NEW,SRP,1,82642810,7.53,868100.0,0.008032,7.43,7.53,117181.0,,-0.000313,882372.93,200401,0.013368983957219322,0.9838243791091824,6536793.0,SRP,0,1,SIERRA PACIFIC RESOURCES,0.0,0.001001,1,2004,2003,,
89310,2006-04-10,PETC,PETCO ANIMAL SUPPLIES INC,PETC,3,71601620,22.54,347260.0,-0.024665,22.53,22.54,57894.0,1883.0,-0.002352,1304930.76,200604,0.0004437541601951635,0.266113736180148,7827240.3999999985,PETC,0,1,PETCO ANIMAL SUPPLIES,0.0,0.000926,4,2006,2005,,
83307,1997-08-08,PTEK,PREMIERE TECHNOLOGIES INC,PTEK,1,74058F10,30.0,382905.0,-0.008264,29.625,29.875,31645.0,325.0,-0.007118000000000002,949350.0,199708,0.008403361344537815,0.4033338600094802,11487150.0,PTEK,0,1,PREMIERE TECHNOLOGIE,0.0,0.0781,8,1997,1997,,
77310,1998-07-15,EFS,ENHANCE FINANCIAL SERVICES GROUP,,1,29331010,36.875,55200.0,-0.003378,36.4375,37.0,37572.0,,0.002557,1385467.5,199807,0.015319148936170212,0.03984214714527768,2035500.0,EFS,0,1,ENHANCE FINANCIAL SV,0.0,0.000893,7,1998,1998,,
55001,1996-12-30,TRN,TRINITY INDUSTRIES INC,,1,89652210,37.25,49100.0,0.013605,36.875,37.625,42982.0,,-0.001628,1601079.5,199612,0.020134228187919462,0.030666809486974256,1828975.0,TRN,1,0,TRINITY INDUSTRIES,0.0258,0.0,12,1996,1996,,
56223,2005-08-10,LPX,LOUISIANA PACIFIC CORP,LPX,1,54634710,24.94,1312600.0,-0.00677,24.91,24.93,110855.0,,-0.00099,2764723.7,200508,0.0008025682182985382,0.4747671530431775,32736244.0,LPX,1,0,LOUISIANA PACIFIC CORP,0.000227,0.0,8,2005,2005,,
18163,2000-11-08,PG,PROCTER & GAMBLE CO,,1,74271810,69.4375,2883099.0,0.014612,69.0,70.0,1328100.0,,-0.009612,92219943.75,200011,0.014388489208633094,0.03126329167816262,200195186.8125,PG,1,0,PROCTER & GAMBLE CO,0.008253,0.0,11,2000,2000,,
81698,1998-09-29,DRTE,DENDRITE INTERNATIONAL INC,DRTE,3,24823910,24.5,122977.0,-0.062201,24.8125,24.875,22440.0,217.0,-0.003653,549780.0,199809,0.0025157232704402514,0.22368401906217034,3012936.5,DRTE,0,1,DENDRITE INTL INC,0.0,0.00059,9,1998,1998,,
78170,2003-11-28,SM,ST MARY LAND & EXPLORATION CO,SM,1,79222810,25.7,78600.0,0.012209999999999999,25.62,25.71,31537.0,,0.005573,810500.9,200311,0.0035067212156633487,0.09697706689776656,2020020.0,SM,0,1,ST MARY LAND & EXPL CO,0.0,0.0008320000000000001,11,2003,2003,,
89030,2002-09-16,REVU,PRINCETON REVIEW INC,REVU,3,74235210,5.82,88418.0,-0.058252,5.75,5.82,27258.0,119.0,-0.006229999999999999,158641.56,200209,0.012100259291270576,0.5573444940909558,514592.76,REVU,0,1,PRINCETON REVIEW INC,0.0,0.00016999999999999999,9,2002,2002,,
16978,1998-04-15,BRR,BARRETT RESOURCES CORP,,1,06848020,37.25,45300.0,-0.014875999999999999,37.0,37.5,31418.0,,0.00511,1170320.5,199804,0.013422818791946308,0.0387073455519236,1687425.0,BRR,0,1,BARRETT RESOURCES CO,0.0,0.001219,4,1998,1997,,
77876,1999-08-23,DAP,DISCOUNT AUTO PARTS INC,,1,25464210,22.25,2100.0,-0.008357,22.0625,22.375,16649.0,,0.004401,370440.25,199908,0.014064697609001406,0.005668930414554034,46725.0,DAP,0,1,DISCOUNT AUTO PTS IN,0.0,0.000206,8,1999,1999,,
18411,2006-08-01,SO,SOUTHERN CO,SO,1,84258710,34.15,3402200.0,0.010953,34.11,34.13,742048.0,,-0.007659999999999998,25340939.2,200608,0.0005861664712779345,0.1342570602118804,116185130.0,SO,1,0,SOUTHERN CO,0.001935,0.0,8,2006,2006,,
89607,2005-02-23,WC,WELLCHOICE INC,WC,1,94947510,52.7,179200.0,0.014437,52.65,52.74,84005.0,,0.002061,4427063.5,200502,0.0017079419299744455,0.0404782989898383,9443840.0,WC,1,0,WELLCHOICE INC,9.8e-05,0.0,2,2005,2004,,
35829,2000-11-06,FISB,FIRST INDIANA CORP,FISB,3,32054R10,23.25,5180.0,-0.03125,23.25,23.625,12443.0,11.0,0.000191,289299.75,200011,0.016,0.017905304100677585,120435.0,FISB,0,1,FIRST IND CORP,0.0,0.000259,11,2000,2000,,
48071,1998-06-08,JPM,MORGAN J P & CO INC,,1,61688010,123.6875,1095600.0,0.010725,123.125,124.0,178420.0,,0.000505,22068323.75,199806,0.007081436519979768,0.0496458187042865,135512025.0,JPM,1,0,MORGAN (J P) & CO,0.0022010000000000003,0.0,6,1998,1998,,
11072,1999-03-30,DTLN,DATA TRANSMISSION NETWORK CORP,DTLN,3,23801710,24.0,81310.0,0.046322,24.0,24.0625,11625.0,148.0,-0.003471,279000.0,199903,0.002600780234070221,0.29143369175627243,1951440.0,DTLN,0,1,DATA TRANSMISSION NE,0.0,0.000295,3,1999,1998,,
38914,2005-08-30,CEN,CERIDIAN CORP NEW,CEN,1,15677910,20.47,390800.0,0.006886,20.46,20.48,149755.0,,-0.001661,3065484.85,200508,0.0009770395701025683,0.1274839117211752,7999676.0,CEN,1,0,CERIDIAN CORP,0.000246,0.0,8,2005,2005,,
88155,2002-10-04,DDIC,D D I CORP,DDIC,3,23316210,0.149,414007.0,-0.06875,0.14,0.15,48380.0,196.0,-0.016284,7208.62,200210,0.06896551724137917,57.43221310042699,61687.043,DDIC,0,1,DDI CORP,0.0,1.7e-05,10,2002,2002,,
11277,2000-11-15,DAVX,DAVOX CORP,DAVX,3,23920810,8.625,29912.0,-0.054795,8.5625,8.625,12788.0,53.0,-0.000117,110296.5,200011,0.007272727272727274,0.2711962754937827,257991.0,DAVX,0,1,DAVOX CORP,0.0,9.7e-05,11,2000,2000,,
80408,1996-10-10,SUS,STORAGE USA INC,,1,86190710,33.375,4200.0,-0.0037310000000000004,33.0,33.625,21475.0,,0.000923,716728.125,199610,0.01876172607879925,0.005859962590417392,140175.0,SUS,0,1,STORAGE USA INC,0.0,0.1041,10,1996,1996,,
