date,cusip,ticker,mktvalue,shares,russell1000,russell2000,name,r1000_wt,r2000_wt,year,month,yrmo
1996-07-31,30242610,FHPC,,40682,1,0,FHP INTERNATIONAL CO,0.0201,0.0,1996,7,199607
2001-05-31,45715310,IM,879349.5,66366,1,0,INGRAM MICRO INC,7.8e-05,0.0,2001,5,200105
2004-11-30,94947510,WC,1107957.84,22616,1,0,WELLCHOICE INC,9.499999999999999e-05,0.0,2004,11,200411
1999-11-30,55308710,MMI,73669.37,18134,0,1,MMI COS INC,0.0,8.6e-05,1999,11,199911
1996-10-31,50022810,KE,,16104,0,1,KOGER EQUITY INC,0.0,0.0385,1996,10,199610
2006-10-31,48716910,KRNY,349136.0,21821,0,1,KEARNY FINANCIAL CORP,0.0,0.000261,2006,10,200610
2005-10-31,12007610,BBW,229033.64,9559,0,1,BUILD A BEAR WORKSHOP,0.0,0.000196,2005,10,200510
1998-12-31,36352K10,GNL,102007.88,11827,0,1,GALEY & LORD INC,0.0,0.00011899999999999999,1998,12,199812
1996-12-31,80660510,SGP,,369678,1,0,SCHERING-PLOUGH,0.3886,0.0,1996,12,199612
2004-04-30,74331210,PRGS,568198.5,27717,0,1,PROGRESS SOFTWARE CORP,0.0,0.000637,2004,4,200404
2003-10-31,59156R10,MET,10669217.6,339784,1,0,METLIFE INC,0.001049,0.0,2003,10,200310
1996-05-31,69073210,OMI,,27723,0,1,OWENS & MINOR INC,0.0,0.0552,1996,5,199605
2003-04-30,94768C10,WEBM,453283.48,45058,0,1,WEBMETHODS INC,0.0,0.000727,2003,4,200304
2006-09-29,53071M10,LINTA,14312731.34,702293,1,0,LIBERTY INTERACTIVE,0.001065,0.0,2006,9,200609
1999-11-30,44938410,IDGB,48075.0,3205,0,1,IDG BOOKS WORLDWIDE,0.0,5.6000000000000006e-05,1999,11,199911
1999-04-30,62885010,NCH,113632.5,2085,0,1,NCH CORP,0.0,0.000131,1999,4,199904
1998-02-27,00724F10,ADBE,3229310.87,73082,1,0,ADOBE SYSTEMS INC,0.000373,0.0,1998,2,199802
1996-04-30,85768910,STCI,,18499,0,1,STATION CASINOS INC,0.0,0.0406,1996,4,199604
2003-04-30,30161Q10,EXEL,384113.19,45089,0,1,EXELIXIS INC,0.0,0.000616,2003,4,200304
2001-04-30,45990210,IGT,4102185.85,73345,1,0,INTERNATIONAL GAME T,0.000363,0.0,2001,4,200104
2004-07-30,56624R10,MCHX,38195.1,4107,0,1,MARCHEX INC,0.0,4e-05,2004,7,200407
2002-11-29,77273920,RKT,142875.0,11250,0,1,ROCK-TENN CO,0.0,0.000225,2002,11,200211
1998-07-31,71366Q10,PRGN,243678.0,7167,0,1,PEREGRINE SYS INC,0.0,0.00028399999999999996,1998,7,199807
2003-01-31,73179P10,POL,276971.2,78685,0,1,POLYONE CORP,0.0,0.00047599999999999997,2003,1,200301
1997-07-31,75526710,RDA,2261706.56,90695,1,0,READERS DIGEST ASSN,0.0287,0.0,1997,7,199707
2004-05-28,00508X20,ATU,723622.2,21140,0,1,ACTUANT CORP,0.0,0.0008029999999999999,2004,5,200405
1998-03-31,62886E10,NCR,3415257.06,103297,1,0,NCR CORP,0.000375,0.0,1998,3,199803
1998-04-30,28102010,EIX,10998725.6,368930,1,0,EDISON INTL,0.0011970000000000001,0.0,1998,4,199804
1998-04-30,38480210,GWW,4239956.44,38921,1,0,GRAINGER (W W) INC,0.00046100000000000004,0.0,1998,4,199804
2004-06-30,62885210,NCS,633715.95,19469,0,1,NCI BUILDING SYSTEMS INC,0.0,0.000612,2004,6,200406
2000-06-30,45321W10,IMRS,257226.75,19692,0,1,IMRGLOBAL CORPORATIO,0.0,0.000266,2000,6,200006
2004-03-31,98939010,ZNT,346018.4,8827,0,1,ZENITH NATIONAL INS CORP,0.0,0.000368,2004,3,200403
1997-12-31,12658310,CUNO,244000.0,16000,0,1,CUNO INC,0.0,0.027999999999999997,1997,12,199712
2002-06-28,02735210,AMSY,748003.62,39142,0,1,AMERICAN MGMT SYS IN,0.0,0.001032,2002,6,200206
2004-09-30,61536910,MCO,9200053.5,125598,1,0,MOODYS CORP,0.000831,0.0,2004,9,200409
1999-03-31,29356210,EOG,1150100.88,69179,1,0,ENRON OIL & GAS,0.00010700000000000001,0.0,1999,3,199903
2004-08-31,77504310,RSTI,419308.2,14922,0,1,ROFIN SINAR TECHNOLOGIES,0.0,0.00044,2004,8,200408
1996-06-28,35908110,FTR,,11207,0,1,FRONTIER INS GRP INC,0.0,0.0591,1996,6,199606
2000-12-29,74266R10,PRVT,103848.06,13454,0,1,PRIVATE MEDIA GROUP,0.0,0.00011899999999999999,2000,12,200012
1999-08-31,04591910,ATHM,5347017.37,133259,1,0,AT HOME CORP,0.000482,0.0,1999,8,199908
2001-09-28,57708110,MAT,6747189.3,430855,1,0,MATTEL INC,0.0007,0.0,2001,9,200109
2004-02-27,42194610,HR,1674656.4,42024,1,0,HEALTHCARE REALTY TRUST,0.000151,0.0,2004,2,200402
2000-05-31,72345610,PNK,451285.62,23674,0,1,PINNACLE ENTMT INC,0.0,0.0005110000000000001,2000,5,200005
1996-01-31,46032120,ISH,,4759,0,1,INTL SHIPHOLDING COR,0.0,0.0169,1996,1,199601
1998-11-30,26747510,DY,472418.31,12017,0,1,DYCOM INDS INC,0.0,0.000583,1998,11,199811
1997-07-31,89816810,DJT,252883.0,23524,0,1,TRUMP HOTEL&CASINO R,0.0,0.0305,1997,7,199707
2005-07-29,92047K10,VVTV,323433.28,27317,0,1,VALUEVISION MEDIA INC,0.0,0.000264,2005,7,200507
2005-01-31,35907K10,FTBK,622809.0,16200,0,1,FRONTIER FINANCIAL CORP,0.0,0.000571,2005,1,200501
2000-11-30,51493610,LFG,298290.0,9943,0,1,LANDAMERICA FINL GRO,0.0,0.000368,2000,11,200011
1999-02-26,08750910,BS,1145395.88,129974,0,1,BETHLEHEM STEEL CORP,0.0,0.001443,1999,2,199902
1996-10-31,35459610,FNQ,,16620,0,1,FRANKLIN QUEST CO,0.0,0.0515,1996,10,199610
2001-12-31,36868910,GLGC,503649.72,26733,0,1,GENE LOGIC INC,0.0,0.000625,2001,12,200112
